  26 Jul 2016,   314.92,  39.53
  27 Jul 2016,   234.26,  43.02
  28 Jul 2016,   38.81,  45.59
  29 Jul 2016,   1648.58,  40.98
  30 Jul 2016,   491.06,  38.38
  31 Jul 2016,   700.87,  44.91
  01 Aug 2016,   182.58,  45.42
  02 Aug 2016,   1252.28,  52.45
  03 Aug 2016,   1134.01,  52.29
  04 Aug 2016,   1118.35,  49.71
  05 Aug 2016,   529.34,  44.43
  06 Aug 2016,   830.34,  34.42
  07 Aug 2016,   409.95,  40.00
  08 Aug 2016,   653.19,  36.79
  09 Aug 2016,   1332.75,  44.87
  10 Aug 2016,   1158.72,  44.38
  11 Aug 2016,   1096.30,  47.22
  12 Aug 2016,   1182.06,  40.39
  13 Aug 2016,   954.28,  35.16
  14 Aug 2016,   48.44,  25.70
  15 Aug 2016,   8.57,  27.88
  16 Aug 2016,   33.94,  30.87
  17 Aug 2016,   0.00,  25.96
  18 Aug 2016,   167.23,  32.06
  19 Aug 2016,   34.38,  31.46
  20 Aug 2016,   228.55,  33.54
  21 Aug 2016,   409.68,  31.47
  22 Aug 2016,   62.94,  28.13
  23 Aug 2016,   30.09,  23.44
  24 Aug 2016,   0.81,  27.30
  25 Aug 2016,   11.89,  28.35
  26 Aug 2016,   752.23,  36.12
  27 Aug 2016,   5.28,  28.25
  28 Aug 2016,   0.00,  17.07
  29 Aug 2016,   0.00,  19.41
  30 Aug 2016,   250.49,  27.94
  31 Aug 2016,   102.86,  30.37
  01 Sep 2016,   598.15,  43.80
  02 Sep 2016,   105.48,  35.71
  03 Sep 2016,   0.00,  16.96
  04 Sep 2016,   0.00,  10.77
  05 Sep 2016,   0.00,  12.97
  06 Sep 2016,   0.00,  28.39
  07 Sep 2016,   44.24,  47.94
  08 Sep 2016,   261.96,  45.12
  09 Sep 2016,   619.50,  33.43
  10 Sep 2016,   19.99,  28.22
  11 Sep 2016,   361.90,  32.56
  12 Sep 2016,   97.10,  32.51
  13 Sep 2016,   1010.81,  27.83
  14 Sep 2016,   1160.28,  29.50
  15 Sep 2016,   0.00,  20.36
  16 Sep 2016,   0.00,  12.28
  17 Sep 2016,   0.00,  16.14
  18 Sep 2016,   0.00,  16.85
  19 Sep 2016,   0.00,  17.33
  20 Sep 2016,   0.00,  8.29
  21 Sep 2016,   78.88,  41.86
  22 Sep 2016,   973.50,  24.64
  23 Sep 2016,   810.48,  23.55
  24 Sep 2016,   0.00,  15.62
  25 Sep 2016,   0.00,  11.59
  26 Sep 2016,   0.00,  33.03
  27 Sep 2016,   0.00,  26.80
  28 Sep 2016,   141.18,  30.70
  29 Sep 2016,   458.82,  37.29
  30 Sep 2016,   167.22,  29.92
  01 Oct 2016,   42.88,  21.95
  03 Oct 2016,   32.47,  21.82
  04 Oct 2016,   0.00,  11.95
  05 Oct 2016,   0.00,  10.89
  06 Oct 2016,   0.00,  12.89
  07 Oct 2016,   0.00,  14.45
  08 Oct 2016,   29.31,  21.68
  09 Oct 2016,   232.41,  23.93
  10 Oct 2016,   0.00,  17.08
